,subject,date,eid,probe,region,f1,f1_shuffle,accuracy,accuracy_shuffle,auroc,auroc_shuffle
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,SCig,0.6591539467665468,0.70231079838092,0.5174540967423495,0.5616722606120433,0.422591544708299,0.49576515254454046
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,SCiw,0.6622040693020449,0.6986836358842773,0.5398795656465943,0.5593346495557748,0.48181776782217395,0.4944633265660094
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,VISp,0.6551967737898259,0.7078949582821766,0.5173820335636723,0.5641214215202369,0.4610224600554707,0.4918226295049996
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,VISp,0.6554604708642916,0.7079664527240067,0.5170493583415599,0.564009871668312,0.45832598452574114,0.4922099215896284
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,VISp,0.6554845662314884,0.7078559846316909,0.517121421520237,0.5640937808489634,0.4593550946759278,0.49170065381940836
0,CSHL049,2020-01-13,2ffd3ed5-477e-4153-9af7-7fdad3c6946b,probe00,PAG,0.08602890883255349,0.14114661176073331,0.5463885350318471,0.5665371549893844,0.37838310978546813,0.47700325132461374
0,CSHL049,2020-01-13,2ffd3ed5-477e-4153-9af7-7fdad3c6946b,probe00,RSPv,0.24179421744886628,0.2183680923552588,0.526140127388535,0.5524118895966029,0.41244718218533477,0.4885033346919115
0,CSHL049,2020-01-13,2ffd3ed5-477e-4153-9af7-7fdad3c6946b,probe00,SUB,0.2720073539480518,0.25168799693404653,0.5292675159235669,0.5477813163481954,0.4815102078624625,0.4917436362962688
0,CSHL049,2020-01-13,2ffd3ed5-477e-4153-9af7-7fdad3c6946b,probe00,V,0.15448668191332904,0.2408875751551667,0.5038789808917197,0.5501698513800425,0.3936697543443626,0.4914971006706436
0,CSHL049,2020-01-13,2ffd3ed5-477e-4153-9af7-7fdad3c6946b,probe00,root,0.18726591760299627,0.22409815827678495,0.5392781316348196,0.5513779193205945,0.44630568009188937,0.48914948682796694
0,CSHL049,2020-01-13,2ffd3ed5-477e-4153-9af7-7fdad3c6946b,probe01,CP,0.32175351055194223,0.2107559039551735,0.5491953290870488,0.5553949044585986,0.4950436659379748,0.4921902163844529
0,CSHL049,2020-01-11,d839491f-55d8-4cbe-a298-7839208ba12b,probe00,LSc,0.47051703046075977,0.42527223307083845,0.5263773987206823,0.5008528784648187,0.5312119198658355,0.4917302307776441
